2020.01.09 15:15:44 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.WebServiceFilter@1bd3220 [pattern=UrlPattern{inclusions=[/api/measures/component/*, ...], exclusions=[/api/properties*, ...]}]
2020.01.09 15:15:44 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.DeprecatedPropertiesWsFilter@76e54 [pattern=UrlPattern{inclusions=[/api/properties/*], exclusions=[]}]
2020.01.09 15:15:44 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.WebServiceReroutingFilter@a7bbcf [pattern=UrlPattern{inclusions=[/api/components/bulk_update_key, ...], exclusions=[]}]
2020.01.09 15:15:44 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.InitFilter@ed9c4d [pattern=UrlPattern{inclusions=[/sessions/init/*], exclusions=[]}]
2020.01.09 15:15:44 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.OAuth2CallbackFilter@67efac [pattern=UrlPattern{inclusions=[/oauth2/callback/*], exclusions=[]}]
2020.01.09 15:15:44 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LoginAction@18420e3 [pattern=UrlPattern{inclusions=[/api/authentication/login], exclusions=[]}]
2020.01.09 15:15:44 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LogoutAction@18540c2 [pattern=UrlPattern{inclusions=[/api/authentication/logout], exclusions=[]}]
2020.01.09 15:15:44 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.ValidateAction@f5df8b [pattern=UrlPattern{inclusions=[/api/authentication/validate], exclusions=[]}]
2020.01.09 15:15:44 INFO  web[][o.s.s.n.NotificationDaemon] Notification service started (delay 60 sec.)
2020.01.09 15:15:45 INFO  web[][o.s.s.n.NotificationDaemon] Notification service stopped
2020.01.09 15:15:45 INFO  web[][o.s.s.p.Platform] WebServer is operational
